order_id,order_date,customer_id,product_name,platform,purchase_amount,region
f28f834f-e166-43a0-a26e-d5edb244a269,2024-04-25,166fdebe-52b3-4b3f-878d-7cc1d40186e1,Sea Expansion Pack,PlayStation,78.93,South America
15d7cfde-987f-49c8-919e-1eaafc027ce9,2025-02-24,ef7229ab-0242-48c5-bc12-e72563b27ee3,Tonight Expansion Pack,PC,42.45,North America
24cb6d84-46bc-4ff2-a27a-252e8f9c22cd,2024-04-20,c59e04af-12ee-44c1-9fbf-408d9c03ddc0,Before Expansion Pack,Xbox,69.87,Australia
27da9534-75e5-43e3-8310-ad0236f7fe1d,2024-08-13,d6e7cbe5-509e-4f26-b0fc-01c4e844776e,Show Expansion Pack,PC,69.8,South America
74e69f23-3eec-4042-9fcb-5193a283eba0,2024-10-08,92d4d604-5373-425b-ab8c-96e3476fc46e,Speak Expansion Pack,Xbox,49.28,South America
6e5e5ede-a6d6-4c89-aa44-7855da6416b1,2023-08-09,bbb98b4e-557f-4912-8e46-d1738e72757c,Opportunity Expansion Pack,PlayStation,45.88,Europe
b2a1c823-6a23-4924-8fa5-f60d0305bd42,2025-02-02,e87e5758-f105-47e5-b5c3-ac9144ffd243,Tough Expansion Pack,PC,59.3,North America
af2519db-b1c1-4326-89a3-458b5c98d0f0,2024-01-04,82e60a57-7d5c-4203-a0b0-bb96c6fd5478,Crime Expansion Pack,Xbox,87.65,South America
85faa58f-d453-4095-aa3a-0c6321a108b0,2023-07-30,805bb959-b8f5-4d5d-a0bf-2ade8b8a31e5,Truth Expansion Pack,Switch,76.53,South America
18137b26-44ca-476c-91e5-1e6a5e335b0b,2023-09-22,91e34c6f-e2cd-409c-a16f-9e8d006411bd,Speak Expansion Pack,PlayStation,87.06,Asia
a0d46415-a87f-4872-9e8e-6a148125b160,2024-08-16,dd135e3a-784b-433e-82e5-c0cd53761b43,Would Expansion Pack,PlayStation,95.54,Europe
b89488dd-8d1b-4e20-9907-37aee55f21d7,2023-05-23,2d84d012-a85a-4f92-bdde-71cb6b3b5980,Somebody Expansion Pack,PC,92.78,North America
4191e3d0-ec18-49c7-bef6-e6cc25a0638a,2024-09-12,fb982ced-24ce-429b-930c-06cb1343c08f,Continue Expansion Pack,Switch,75.18,South America
96b1de50-4fd0-4097-a291-8f73692bba8f,2024-10-05,7d414efb-59f6-4204-aa3e-7fff067be69c,Fly Expansion Pack,PC,90.0,South America
09265c7c-6db7-4390-92c3-e2e8544304d4,2023-09-19,028e21c2-1364-4020-a4fe-33c04adfa113,Individual Expansion Pack,PC,12.07,Australia
af51b300-345c-4a84-8983-8ca24859b7d0,2023-06-15,a04438e8-f6dd-41d3-a90b-81a101059cf4,Employee Expansion Pack,Switch,28.22,Europe
cf7846d1-1e85-449c-88ed-0758e725b542,2023-11-16,c93643b4-3546-485e-98ff-2b17f64e09bd,National Expansion Pack,PlayStation,27.45,North America
50dd256b-4055-4376-8079-ff09f0910a0a,2023-08-23,3ac24c64-de7b-4f9d-9b0d-53c852ef0fb3,You Expansion Pack,PC,14.47,Europe
4378a16d-40cc-4757-a8e2-93af80cc68d9,2024-03-19,aac0950b-6ca0-4acb-b783-4c313441ebb0,Claim Expansion Pack,Xbox,14.53,Europe
